countries,Year,(Territorial & Low GHG with VOLY) scenario [%],(Territorial & Low GHG with VSL) scenario [%],(Territorial & Central GHG with VOLY) scenario [%],(Territorial & Central GHG with VSL) scenario [%],(Territorial & High GHG with VOLY) scenario [%],(Territorial & High GHG with VSL) scenario [%],(Residential & Low GHG with VOLY) scenario [%],(Residential & Low GHG with VSL) scenario [%],(Residential & Central GHG with VOLY) scenario [%],(Residential & Central GHG with VSL) scenario [%],(Residential & High GHG with VOLY) scenario [%],(Residential & High GHG with VSL) scenario [%],(Footprint & Low GHG with VOLY) scenario [%],(Footprint & Low GHG with VSL) scenario [%],(Footprint & Central GHG with VOLY) scenario [%],(Footprint & Central GHG with VSL) scenario [%],(Footprint & High GHG with VOLY) scenario [%],(Footprint & High GHG with VSL) scenario [%]
Romania,1990,,,,,,,,,,,,,,,,,,
Sweden,1990,,,,,,,,,,,,,,,,,,
Slovenia,1990,,,,,,,,,,,,,,,,,,
Slovakia,1990,,,,,,,,,,,,,,,,,,
Belgium,1991,,,,,,,,,,,,,,,,,,
Bulgaria,1991,,,,,,,,,,,,,,,,,,
Cyprus,1991,,,,,,,,,,,,,,,,,,
Czechia,1991,,,,,,,,,,,,,,,,,,
Germany,1991,25.15942316534644,65.83987233956175,28.436654390747158,69.11710356496246,61.13093732986387,101.81138650407917,,,,,,,,,,,,
Denmark,1991,17.16444269013742,36.332256139581226,20.462624713379643,39.63043816282345,53.365916802391354,72.53373025183517,,,,,,,,,,,,
Estonia,1991,,,,,,,,,,,,,,,,,,
Greece,1991,,,,,,,,,,,,,,,,,,
Spain,1991,,,,,,,,,,,,,,,,,,
Finland,1991,14.711044194086478,24.22417600958834,15.969911367858721,25.483043183360586,28.5286100776342,38.04174189313606,,,,,,,,,,,,
France,1991,29.34127664969602,65.30062660525775,31.582333251308924,67.54168320687064,53.93954077692338,89.8988907324851,,,,,,,,,,,,
Croatia,1991,,,,,,,,,,,,,,,,,,
Hungary,1991,,,,,,,,,,,,,,,,,,
Ireland,1991,,,,,,,,,,,,,,,,,,
Italy,1991,,,,,,,,,,,,,,,,,,
Lithuania,1991,,,,,,,,,,,,,,,,,,
Latvia,1991,,,,,,,,,,,,,,,,,,
Malta,1991,,,,,,,,,,,,,,,,,,
Netherlands,1991,,,,,,,,,,,,,,,,,,
Norway,1991,10.623294321840088,16.283124596366605,12.214600877295863,17.87443115182238,28.08977818053326,33.74960845505978,,,,,,,,,,,,
Poland,1991,,,,,,,,,,,,,,,,,,
Portugal,1991,,,,,,,,,,,,,,,,,,
Romania,1991,,,,,,,,,,,,,,,,,,
Sweden,1991,,,,,,,,,,,,,,,,,,
Slovenia,1991,,,,,,,,,,,,,,,,,,
Slovakia,1991,,,,,,,,,,,,,,,,,,
Belgium,1992,,,,,,,,,,,,,,,,,,
Bulgaria,1992,,,,,,,,,,,,,,,,,,
Cyprus,1992,,,,,,,,,,,,,,,,,,
Czechia,1992,,,,,,,,,,,,,,,,,,
Germany,1992,20.276419275502143,53.0534303244128,23.136977339042737,55.913988387953395,51.67444944912633,84.45146049803698,,,,,,,,,,,,
Denmark,1992,14.673964043920936,30.416303479358547,17.638736020887656,33.38107545632526,47.21586598157947,62.958205417017076,,,,,,,,,,,,
Estonia,1992,,,,,,,,,,,,,,,,,,
Greece,1992,,,,,,,,,,,,,,,,,,
Spain,1992,,,,,,,,,,,,,,,,,,
Finland,1992,14.238067153647924,24.2886194150465,15.959543211426741,26.010095472825316,33.1333162640297,43.183868525428274,,,,,,,,,,,,
France,1992,24.667223113215083,57.156116181886986,26.7626155373203,59.2515086059922,47.66664948256042,80.15554255123233,,,,,,,,,,,,
Croatia,1992,,,,,,,,,,,,,,,,,,
Hungary,1992,,,,,,,,,,,,,,,,,,
Ireland,1992,,,,,,,,,,,,,,,,,,
Italy,1992,,,,,,,,,,,,,,,,,,
Lithuania,1992,,,,,,,,,,,,,,,,,,
Latvia,1992,,,,,,,,,,,,,,,,,,
Malta,1992,,,,,,,,,,,,,,,,,,
Netherlands,1992,,,,,,,,,,,,,,,,,,
Norway,1992,9.554543024774077,14.986940237465813,11.06628888540075,16.498686098092488,26.147753542604956,31.580150755296692,,,,,,,,,,,,
Poland,1992,,,,,,,,,,,,,,,,,,
Portugal,1992,,,,,,,,,,,,,,,,,,
Romania,1992,,,,,,,,,,,,,,,,,,
Sweden,1992,,,,,,,,,,,,,,,,,,
Slovenia,1992,,,,,,,,,,,,,,,,,,
Slovakia,1992,,,,,,,,,,,,,,,,,,
Belgium,1993,,,,,,,,,,,,,,,,,,
Bulgaria,1993,,,,,,,,,,,,,,,,,,
Cyprus,1993,,,,,,,,,,,,,,,,,,
Czechia,1993,,,,,,,,,,,,,,,,,,
Germany,1993,17.60584913445589,46.01410954664011,20.246698210103936,48.654958622288156,46.59231160764036,75.00057201982457,,,,,,,,,,,,
Denmark,1993,12.624632345243626,26.731537686391384,15.523590925299501,29.63049626644726,44.4441539025236,58.55105924367137,,,,,,,,,,,,
Estonia,1993,,,,,,,,,,,,,,,,,,
Greece,1993,,,,,,,,,,,,,,,,,,
Spain,1993,,,,,,,,,,,,,,,,,,
Finland,1993,13.468632735228608,24.36106702627412,15.517420236132008,26.40985452717752,35.95651459038258,46.84894888142809,,,,,,,,,,,,
France,1993,21.823713319743334,50.96844528288421,23.739789952907824,52.88452191604871,42.85493541233457,71.99966737547545,,,,,,,,,,,,
Croatia,1993,,,,,,,,,,,,,,,,,,
Hungary,1993,,,,,,,,,,,,,,,,,,
Ireland,1993,,,,,,,,,,,,,,,,,,
Italy,1993,,,,,,,,,,,,,,,,,,
Lithuania,1993,,,,,,,,,,,,,,,,,,
Latvia,1993,,,,,,,,,,,,,,,,,,
Malta,1993,,,,,,,,,,,,,,,,,,
Netherlands,1993,,,,,,,,,,,,,,,,,,
Norway,1993,8.480396913296829,14.081508124895537,9.98268623014847,15.583797441747176,24.969810605406504,30.57092181700521,,,,,,,,,,,,
Poland,1993,,,,,,,,,,,,,,,,,,
Portugal,1993,,,,,,,,,,,,,,,,,,
Romania,1993,,,,,,,,,,,,,,,,,,
Sweden,1993,5.930965990988017,10.71875959146701,6.633147654881087,11.420941255360082,13.638245682766728,18.426039283245725,,,,,,,,,,,,
Slovenia,1993,,,,,,,,,,,,,,,,,,
Slovakia,1993,,,,,,,,,,,,,,,,,,
Belgium,1994,,,,,,,,,,,,,,,,,,
Bulgaria,1994,,,,,,,,,,,,,,,,,,
Cyprus,1994,,,,,,,,,,,,,,,,,,
Czechia,1994,,,,,,,,,,,,,,,,,,
Germany,1994,15.158129823677092,39.33117101518773,17.639481453902558,41.812522645413196,42.39391795543756,66.56695914694821,,,,,,,,,,,,
Denmark,1994,11.081595507981591,24.152638883488507,13.883709467792645,26.954752843299563,41.83813206686007,54.90917544236699,,,,,,,,,,,,
Estonia,1994,,,,,,,,,,,,,,,,,,
Greece,1994,,,,,,,,,,,,,,,,,,
Spain,1994,,,,,,,,,,,,,,,,,,
Finland,1994,11.336623599224847,20.615179298072103,13.720942122902208,22.99949782174946,37.507357871016815,46.78591356986407,,,,,,,,,,,,
France,1994,19.578762207433385,45.86381175969275,21.39688404850917,47.68193360076854,39.53481384400332,65.81986339626268,,,,,,,,,,,,
Croatia,1994,,,,,,,,,,,,,,,,,,
Hungary,1994,,,,,,,,,,,,,,,,,,
Ireland,1994,,,,,,,,,,,,,,,,,,
Italy,1994,,,,,,,,,,,,,,,,,,
Lithuania,1994,,,,,,,,,,,,,,,,,,
Latvia,1994,,,,,,,,,,,,,,,,,,
Malta,1994,,,,,,,,,,,,,,,,,,
Netherlands,1994,,,,,,,,,,,,,,,,,,
Norway,1994,6.604522095140925,12.177147488538196,8.205708689580536,13.778334082977809,24.179451143632853,29.752076537030124,,,,,,,,,,,,
Poland,1994,,,,,,,,,,,,,,,,,,
Portugal,1994,,,,,,,,,,,,,,,,,,
Romania,1994,,,,,,,,,,,,,,,,,,
Sweden,1994,3.9827034729315627,8.477400825974915,4.665255574682547,9.159952927725898,11.474525351674504,15.969222704717856,,,,,,,,,,,,
Slovenia,1994,,,,,,,,,,,,,,,,,,
Slovakia,1994,,,,,,,,,,,,,,,,,,
Belgium,1995,26.722238219944018,69.5740087145831,29.607317277294364,72.45908777193345,58.3894154922895,101.24118598692857,,,,,,,,,,,,
Bulgaria,1995,380.20115478060745,907.7633381084285,396.32313179400256,923.8853151218235,557.1590453323962,1084.721228660217,,,,,,,,,,,,
Cyprus,1995,27.17495824117957,36.10833991574513,30.990350816219063,39.92373249078462,69.05343388625592,77.98681556082148,,,,,,,,,,,,
Czechia,1995,158.8938779309865,418.88025781379054,172.60865292859563,432.5950328113996,309.4298606428391,569.4162405256432,,,,,,,,,,,,
Germany,1995,12.837729015883411,32.559939578048,15.168669623257761,34.890880185422354,38.42257711111137,58.144787673275964,,,,,,,,,,,,
Denmark,1995,9.953309004294358,21.626948563150535,12.478194900502965,24.151834459359144,37.666937531726916,49.340577090583096,10.307487503163854,21.981127062020033,13.068492398618792,24.74213195747497,40.612803141371614,52.286442700227795,10.596953246574198,22.270592805430375,13.5509353043027,25.224574863158878,43.02042297545131,54.694062534307484
Estonia,1995,168.03642940329973,220.9675771895184,191.53585177872225,244.46699956494092,425.97056547638977,478.9017132626084,,,,,,,,,,,,
Greece,1995,34.951912096164705,68.58017181577668,39.22726298249318,72.85552270210516,81.87897777705587,115.50723749666784,,,,,,,,,,,,
Spain,1995,28.6057275419611,68.93648486448213,31.20150645094806,71.53226377346908,57.09749128107986,97.42824860360089,,,,,,,,,,,,
Finland,1995,8.882481484476383,16.07320278419697,10.807564412199104,17.99828571191969,30.012558381623407,37.20327968134399,,,,,,,,,,,,
France,1995,18.11472959880044,42.87496439961813,19.86948230742575,44.62971710824344,37.375229567282965,62.135464368100656,,,,,,,,,,,,
Croatia,1995,101.34344728297775,214.615108572472,104.74226529412772,218.01392658362198,138.64952116726676,251.92118245676104,,,,,,,,,,,,
Hungary,1995,108.62201739527593,292.5447542698777,117.06326382177315,300.9860006963749,201.27474602897144,385.19748290357325,110.22187994082222,294.144616815424,119.72970139768364,303.65243827228545,214.58153926494384,398.50427613954554,112.84025183321398,296.76298870781574,124.0936545516699,308.0163914262717,236.3597435762657,420.28248045086747
Ireland,1995,29.361953592290657,56.56593752801085,34.66605704663085,61.870040982351036,87.58080341254849,114.7847873482687,,,,,,,,,,,,
Italy,1995,32.5201274264602,87.59085951586515,34.91274150953919,89.98347359894414,58.78191533835104,113.85264742775598,,,,,,,,,,,,
Lithuania,1995,55.58260462346486,128.99941704902668,70.27759417771443,143.69440660327626,216.8776090165375,290.2944214420993,,,,,,,,,,,,
Latvia,1995,154.85155324599992,288.66750947454926,152.60161850437476,286.4175747329241,130.15584096292358,263.97179719147294,,,,,,,,,,,,
Malta,1995,15.063333204524696,30.461516054240146,19.027940806576265,34.42612365629172,58.57962140799551,73.97780425771096,15.627194447410947,31.025377297126393,19.967709544720016,35.36589239443547,63.26951492025573,78.66769776997118,18.448096576266423,33.846279425981876,24.669213092812473,40.067395942527924,86.7322564364505,102.13043928616594
Netherlands,1995,16.35932237584422,39.82516203488547,19.248848567691173,42.71468822673242,48.075312243497706,71.54115190253896,16.518802165567248,39.984641824608495,19.514648217229556,42.9804878762708,49.40177906595592,72.86761872499716,17.356547280607444,40.822386939648695,20.910890075629883,44.37672973467113,56.36969081644898,79.83553047549023
Norway,1995,5.693509023949734,10.965284058576072,7.029922423696812,12.301697458323149,20.36223705450694,25.63401208913327,,,,,,,,,,,,
Poland,1995,123.77799623373448,282.65593558298553,140.34932452455377,299.2272638738049,305.66805199725087,464.5459913465019,,,,,,,,,,,,
Portugal,1995,49.1865186385221,88.51684299649072,51.92219457610656,91.25251893407518,79.21381881058014,118.54414316854876,49.96084997048864,89.29117432845726,53.2127467960508,92.5430711540194,85.654288936778,124.98461329474662,50.590512182983616,89.92083654095224,54.262183816875755,93.59250817484435,90.8914794026092,130.22180376057784
Romania,1995,195.34731874304822,451.4588998558927,218.50251996866015,474.61410108150466,449.5032179098839,705.6147990227283,,,,,,,,,,,,
Sweden,1995,3.363180323841265,7.417850493690308,3.993930894613331,8.048601064462373,10.286418731601318,14.34108890145036,,,,,,,,,,,,
Slovenia,1995,66.00396175124233,193.27631304007247,69.53230206114905,196.8046533499792,104.73169705759958,232.00404834642973,,,,,,,,,,,,
Slovakia,1995,113.3093968308871,284.5170687794086,125.30813479824315,296.5158067467646,245.00983023448563,416.2175021830071,117.22184107440496,288.42951302292647,131.82887520410628,303.0365471526278,277.55142997422155,448.75910192274307,118.20687262848415,289.41454457700564,133.47059446090492,304.67826640942644,285.7443908367215,456.95206278524296
Belgium,1996,26.50970027136098,68.3437663313259,29.46444287849038,71.2985089384553,58.94151793532889,100.7755839952938,,,,,,,,,,,,
Bulgaria,1996,561.4081366762294,1334.5585731550998,585.6516665547621,1358.8021030336324,827.5097384382185,1600.6601749170886,,,,,,,,,,,,
Cyprus,1996,26.326288602172344,35.157159909253366,30.185406230592772,39.016277537673794,68.6846987617394,77.51557006882041,,,,,,,,,,,,
Czechia,1996,132.12448125662812,343.437592778796,144.29408966227837,355.60720118444624,265.70042113769375,477.01353265986165,,,,,,,,,,,,
Germany,1996,12.107438957686153,30.37616984443048,14.500192686656337,32.76892357340066,38.37075964947797,56.639490536222304,,,,,,,,,,,,
Denmark,1996,10.533625261594363,22.804561839757472,13.302503344755328,25.57343992291844,40.9253585077183,53.19629508588142,10.901681554340607,23.172618132503718,13.915930499332402,26.186867077495513,43.98665211722674,56.25758869538985,10.822400707173943,23.093337285337054,13.783795754054626,26.05473233221774,43.32723681698337,55.59817339514649
Estonia,1996,113.10843644562334,155.65194554376657,132.3839298143236,174.92743891246684,324.6799231830239,367.2234322811671,,,,,,,,,,,,
Greece,1996,32.21700134890286,63.57791004297343,36.24458409756658,67.60549279163715,76.4245167568546,107.78542545092517,,,,,,,,,,,,
Spain,1996,24.792290821439025,60.21184447804795,27.125535938673195,62.54508959528211,50.40243365584267,85.82198731245158,,,,,,,,,,,,
Finland,1996,8.015364114643248,15.132478536078553,9.896973164576895,17.014087586012202,28.66826344843877,35.785377869874075,,,,,,,,,,,,
France,1996,17.228704488258447,41.40219683988386,18.96405059776047,43.137542949385875,36.276193928268746,60.44968627989415,,,,,,,,,,,,
Croatia,1996,84.70225278891839,190.05842552714338,87.99450202095535,193.35067475918035,120.83860745484793,226.19478019307294,,,,,,,,,,,,
Hungary,1996,102.80635483862193,279.2840032319143,111.61777622801863,288.09542462131105,199.52219437461912,375.99984276791156,103.7240143290241,280.2016627223165,113.14720871202229,289.6248571053147,207.1547907709802,383.6324391642727,104.97712790306433,281.4547762963568,115.23573133542264,291.7133797287151,217.57751319633064,394.0551615896231
Ireland,1996,24.894818215622724,48.145035982345505,29.72089374136328,52.97111150808607,77.8667424386322,101.11696020535497,,,,,,,,,,,,
Italy,1996,26.952447789171895,72.49216123398891,29.003982255063725,74.54369569988074,49.47048085527033,95.01019430008733,,,,,,,,,,,,
Lithuania,1996,49.24355948377715,106.02097365869913,64.79104107970554,121.56845525462752,219.895678905753,276.67309308067496,,,,,,,,,,,,
Latvia,1996,135.76182228505823,259.23139846075344,133.67734146185902,257.1469176375542,112.88216372565694,236.35173990135218,,,,,,,,,,,,
Malta,1996,14.330438583671029,28.704819604065634,18.20562426094466,32.58000528133927,56.86521470803162,71.23959572842622,14.857340818441505,29.231721838836112,19.08379465222879,33.4581756726234,61.24770313691622,75.62208415731084,17.625021679399453,31.99940269979406,23.696596087158706,38.07097710755331,84.26777886932837,98.64215988972298
Netherlands,1996,15.398130466619953,37.64326498334456,18.336344222550363,40.58147873927497,47.648524311475164,69.89365882819978,15.588797297167236,37.833931813891844,18.654122273462505,40.89925679018711,49.234388108408126,71.47952262513274,16.202731573055015,38.44786608977962,19.6773460666088,41.9224805833334,54.34076208563344,76.58589660235805
Norway,1996,5.080088111518292,9.963178206558467,6.4066130792851474,11.289703174325323,19.640278829149725,24.5233689241899,,,,,,,,,,,,
Poland,1996,106.77015628347839,244.0927059741301,120.9366258779659,258.2591755686176,262.26402492773417,399.58657461838595,,,,,,,,,,,,
Portugal,1996,29.60097437460415,64.61946404103209,32.12685100510417,67.14534067153211,57.32547739033064,92.34396705675859,30.264857681657674,65.28334734808561,33.23332318352673,68.25181284995467,62.847300452172696,97.86579011860064,30.85274675591037,65.87123642233831,34.21313830728121,69.23162797370915,67.73704449833794,102.75553416476588
Romania,1996,209.31487965724597,500.9719165708066,232.67063711193921,524.3276740255,465.6721221956646,757.3291591092253,,,,,,,,,,,,
Sweden,1996,2.9270962043562445,6.479751379741508,3.512494328490982,7.065149503876246,9.35253751926372,12.905192694648985,,,,,,,,,,,,
Slovenia,1996,60.23451823133347,180.38025310838484,63.64345763331977,183.78919251037112,97.65168642932593,217.79742130637732,,,,,,,,,,,,
Slovakia,1996,99.01537272183519,247.24845753876104,109.772684663289,258.0057694802149,217.08967760303054,365.3227624199564,102.49914364224895,250.73222845917482,115.57896953064528,263.8120543475711,246.06580398869423,394.2988888056201,104.06394731545984,252.2970321323857,118.18697565266343,266.4200604695893,259.08099644524196,407.3140812621678
Belgium,1997,25.462798434938016,65.05993919546327,28.227080757664684,67.82422151818993,55.80408773915215,95.4012284996774,,,,,,,,,,,,
Bulgaria,1997,436.8723442725566,1163.2964566156963,459.10688062237324,1185.5309929655132,680.9228503979253,1407.3469627410652,,,,,,,,,,,,
Cyprus,1997,24.65860616576739,33.14841426398231,28.322372655748612,36.81218075396354,64.8728050200851,73.36261311830002,,,,,,,,,,,,
Czechia,1997,108.5360393110853,273.94083976061523,120.03746475491867,285.44226520444863,234.7778757303039,400.18267617983383,,,,,,,,,,,,
Germany,1997,11.339599964365785,28.48653063174985,13.676010745830547,30.82294141321461,36.98448973234803,54.131420399732086,,,,,,,,,,,,
Denmark,1997,8.658014081426241,18.130752186878276,11.080015150951244,20.552753256403275,35.24235915406971,44.71509725952174,9.053831265931057,18.52656937138309,11.73971045845927,21.212448563911302,38.53455287915738,48.00729098460941,9.135156301630861,18.60789440708289,11.87525218462561,21.347990290077643,39.21097063640655,48.68370874185858
Estonia,1997,77.22024035399785,111.08764117091596,92.79841546434767,126.66581628126579,248.20925763664712,282.07665845356524,,,,,,,,,,,,
Greece,1997,29.87261917963686,59.31219826313099,33.70536075131891,63.144939834813044,71.94152071643275,101.38109979992687,,,,,,,,,,,,
Spain,1997,23.90078306245212,58.925614159295435,26.283191252440812,61.30802234928413,50.050549147804176,85.07538024464749,,,,,,,,,,,,
Finland,1997,7.184351088157638,13.632268599364117,9.05590433924169,15.50382185044817,27.72687605838973,34.17479356959621,,,,,,,,,,,,
France,1997,15.704800335462268,37.69142799885684,17.386232497341915,39.37286016073649,34.16052001704604,56.14714768044061,,,,,,,,,,,,
Croatia,1997,75.32010612569087,173.69494506899275,78.67600632120164,177.05084526450352,112.15510589070196,210.52994483400386,,,,,,,,,,,,
Hungary,1997,89.3787579261836,245.782008818583,96.94112550369657,253.34437639609595,172.38474490793314,328.7879958003325,90.26112335769763,246.66437425009698,98.41173455621998,254.81498544861938,179.72378437004986,336.1270352624492,91.499634044929,247.90288493732842,100.47591903493893,256.87916992733835,190.0250478638474,346.4282987562467
Ireland,1997,21.2151183238784,41.33469090165593,25.20756989584074,45.327142473618274,65.03702724470314,85.15659982248067,,,,,,,,,,,,
Italy,1997,24.373378998305213,65.77716071483952,26.36963788499884,67.77341960153316,46.28469677844244,87.68847849497675,,,,,,,,,,,,
Lithuania,1997,34.86010661451562,76.06432349710853,45.57864048280808,86.782857365401,152.50877597839244,193.71299286098534,,,,,,,,,,,,
Latvia,1997,132.991387971206,227.93905590137712,132.16876138892752,227.11642931909864,123.96208191333982,218.9097498435109,,,,,,,,,,,,
Malta,1997,13.072376927214055,26.24579953985897,16.597764162782358,29.77118677542727,51.76769872714234,64.94112133978726,13.570831560595195,26.744254173240105,17.428521885084262,30.60194449772918,55.913575360344204,69.08699797298911,15.588194414664752,28.761617027309665,20.790793308533527,33.96421592117844,72.69291084498624,85.86633345763116
Netherlands,1997,13.626334988756641,33.67834783788251,16.36446173533742,36.41647458446329,43.680535707179004,63.73254855630487,13.852120774688087,33.904133623813955,16.740771378556502,36.79278422768237,45.55850002191041,65.61051287103629,14.469470479033419,34.521483328159285,17.76968755246538,37.82170040159125,50.69328168979855,70.74529453892441
Norway,1997,4.75843213258117,9.392082673622616,5.98904706928754,10.622697610328986,18.26589608071538,22.899546621756826,,,,,,,,,,,,
Poland,1997,89.37089256177782,202.02307191651286,101.77574120649105,214.4279205612261,225.52887411446352,338.18105346919856,,,,,,,,,,,,
Portugal,1997,28.40480608112163,62.07382664224744,30.85578005567892,64.52480061680474,55.307163278048066,88.97618383917387,29.082731328453367,62.751751889579175,31.985655467898468,65.65467602902429,60.94577962093419,94.61480018206001,30.068426240491895,63.7374468016177,33.628480321296024,67.29750088242184,69.14425793693724,102.81327849806306
Romania,1997,191.45816283047964,460.5092825837427,212.04975571453554,481.10087546779863,417.4754085340456,686.5265282873087,,,,,,,,,,,,
Sweden,1997,2.596826877479709,5.844750614948845,3.064234229483147,6.312157966952284,7.727179003041256,10.975102740510392,,,,,,,,,,,,
Slovenia,1997,56.351433345887436,169.1199420327826,59.57996828177963,172.34847696867476,91.78844776127549,204.55695644817067,,,,,,,,,,,,
Slovakia,1997,83.2738603959423,205.07952998536035,92.76978944291841,214.5754590323365,187.50298636394206,309.30865595336013,86.27678758342775,208.0824571728458,97.7746680887275,219.5803376781456,212.47971408207496,334.2853836714931,87.30242657965663,209.10809616907468,99.48406641577562,221.2897360051937,221.0104257332485,342.81609532266657
Belgium,1998,23.094843485096465,60.46298431535173,25.84788873699926,63.216029567254516,53.312792559553316,90.68093338980857,,,,,,,,,,,,
Bulgaria,1998,316.87564339614215,828.8766999389771,332.3379076397571,844.3389641825922,486.5924009272489,998.593457470084,,,,,,,,,,,,
Cyprus,1998,22.9254148438695,31.0171494875773,26.440357701636692,34.532092345344495,61.50609716364749,69.59783180735528,,,,,,,,,,,,
Czechia,1998,79.86968207499231,192.45264936447762,90.0011879722122,202.5841552616975,191.07502061352483,303.6579879030101,,,,,,,,,,,,
Germany,1998,10.414668890026315,25.89815017923438,12.642918338663742,28.126399627871812,34.872359266737135,50.3558405559452,,,,,,,,,,,,
Denmark,1998,7.820753423410206,16.03723603003293,10.05681713399736,18.273299740620082,32.364214627712045,40.580697234334764,8.369639117621393,16.58612172424412,10.971626624349335,19.18810923097206,36.92954960813524,45.146032214757966,8.545405749046452,16.76188835566918,11.264571010057768,19.481053616680494,38.391481590146846,46.60796419676957
Estonia,1998,61.493673330044395,89.78428607794771,73.64072809077454,101.93134083867785,194.82206010853477,223.1126728564381,,,,,,,,,,,,
Greece,1998,29.724995388869907,59.40208880009112,33.65501754182057,63.332110953041784,72.8616671153046,102.53876052652582,,,,,,,,,,,,
Spain,1998,21.513525062782556,53.21565837198358,23.823377659313,55.52551096851403,46.86690713422383,78.56904044342485,,,,,,,,,,,,
Finland,1998,6.542046469072122,12.20039251704203,8.233473806807458,13.891819854777362,25.107475104690923,30.765821152660827,,,,,,,,,,,,
France,1998,14.819100733008256,35.98718667743893,16.461015107859417,37.62910105229009,32.841065656969825,54.0091516014005,,,,,,,,,,,,
Croatia,1998,70.26255482585242,165.24763555689285,73.43464027961294,168.41972101065338,105.07996897308094,200.06504970412138,,,,,,,,,,,,
Hungary,1998,81.90348559962773,224.91942023700372,89.02147963767548,232.03741427505147,160.03194396962814,303.0478786070041,82.91696757607939,225.93290221345538,90.71061626509494,233.72655090247093,168.46154009122614,311.47747472860215,84.35186388694866,227.36779852432468,93.10211011654374,236.11804475391972,180.39623321655154,323.4121678539275
Ireland,1998,18.8676864273506,38.19243445039266,22.61723128328805,41.94197930633011,60.023404965140244,79.34815298818232,,,,,,,,,,,,
Italy,1998,22.78271406044891,61.57087842198597,24.76699519979509,63.55515956133214,44.5625618042248,83.35072616576184,,,,,,,,,,,,
Lithuania,1998,27.897665240332348,67.0039731390327,34.63125930358977,73.73756720229011,101.80687626799126,140.91318416669162,,,,,,,,,,,,
Latvia,1998,114.97598450581033,198.06351560352368,114.52837329751344,197.61590439522678,110.06291862426589,193.15044972197924,,,,,,,,,,,,
Malta,1998,12.263351945948964,24.752363532302194,15.527421966608967,28.0164335529622,48.09040622033615,60.57941780668937,12.710320060584063,25.199331646937296,16.272368824334134,28.761380410687366,51.80804577698363,64.29705736333686,16.64654486375565,29.135556450108886,22.83274349628678,35.32175508264001,84.54743937796638,97.03645096431961
Netherlands,1998,12.213729098870411,29.971204381587025,14.789217016054476,32.54669229877109,40.4827750470098,58.240250329726415,12.435535655773029,30.193010938489646,15.158894610892174,32.91636989360879,42.32764228219983,60.085117564916445,13.082929737787353,30.840405020503965,16.237884747582708,33.995360030299324,47.7123168691126,65.46979215182921
Norway,1998,4.73766900726358,9.341325481040874,5.937457476678729,10.541113950456023,17.906775778701277,22.51043225247857,,,,,,,,,,,,
Poland,1998,72.76737100642791,164.86659799331147,83.0383353213566,175.13756230824015,185.50343170124043,277.602658688124,,,,,,,,,,,,
Portugal,1998,30.792978600281707,71.08768671267765,33.279445370004794,73.57415348240075,58.084911477480425,98.37961958987637,31.404256502167886,71.69896461456385,34.29824187314844,74.5929499855444,63.16919116935919,103.46389928175515,32.643518651879184,72.93822676427514,36.36367878933393,76.65838690172988,73.47670492251343,113.77141303490939
